Day,Objective,When,Activity,Author
Mon,Welcome,0900-0930,Arrival and networking,
Mon,Welcome,0930-0945,TMCF @Turing,"Ioannis Kosmidis, TMCF Lead"
Mon,Welcome,0945-1000,Turing Overview,"Daniel Lovelock, Head of Academic Engagement"
Mon,Welcome,1000--1015,*This* TMCF,"Cagatay Turkay, Roger Beecham"
Mon,Provocations and positions,1015--1230,"Participants present their provocations, w/ group review",All
Mon,Provocations and positions,1230-1400,Lunch,
Mon,Provocations and positions,1400-1600,Groupwork on challenges,All
Tue,Welcome,0900-0930,Arrival and networking,
Tue,Welcome,0930-0945,Update and plans for day,"Cagatay Turkay, Roger Beecham"
Tue,Documenting positions,0945-1230,Groups co-write 1500-word commentary w/ example and evidence,All
Tue,Documenting positions,1230-1330,Lunch,
Tue,Documenting positions,1330-1600,Groupwork on commentaries,All
Tue,Documenting positions,1600-1630,De-brief and planning,"Cagatay Turkay, Roger Beecham"
Wed,Welcome,0900-0930,Arrival and networking,
Wed,Welcome,0930-0945,Update and plans for day,"Cagatay Turkay, Roger Beecham"
Wed,Welcome,0945-1100,Lightning talks from Turing PIs on probabilistic programming,TBC
Wed,Synthesising over positions,1100-1230,Groupwork on position paper,All
Wed,Synthesising over positions,1230-1330,Lunch,
Wed,Synthesising over positions,1330-1500,Groupwork on position paper,All]
Wed,Public lecture,1600-1900,Public lectures + drinks reception,"Andrew Gelman, Jess Hullman, Hadley Wickham"
Thu,Welcome,0900-0930,Arrival and networking,
Thu,Welcome,0930-0945,Update and plans for day,"Cagatay Turkay, Roger Beecham"
Thu,Writing paper,0945-1230,Groupwork: paper writing,All
Thu,Writing paper,1230-1330,Lunch,
Thu,Writing paper,1330-1500,Groupwork: paper writing,All
Thu,Writing paper,1500-1600,Group discussion: Progress and next steps,All
Fri,Welcome,0900-0930,Arrival and networking,
Fri,Welcome,0930-0945,Briefing from Turing Director for Fundamental DS&AI,Andrew Duncan 
Fri,Consolidate and follow-ups,0945-1230,Group discussion,All
Fri,Consolidate and follow-ups,1230-1400,Lunch and depart,
